,county_code,population_total,population_density,urbanization_rate,population_per_pharmacy,installations_watersupply,installations_toilet,installations_bathroom,installations_central_heating,installations_network_gas,appartment_area_per_person,appartments_per_1000_persons,persons_per_appartment,persons_per_room,persons_per_library,library_books_per_1000_persons,library_readers_per_1000_persons,library_loans_per_reader,forests_area,unemployed_f,unemployed_m,unemployment_rate,bicycle_paths_per_100km2,bicycle_paths_per_10k_persons,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,expenditures_per_capita,investment_expenditures_per_capita,children_3_5_in_kindergartens,net_scholarization,marriages_per_1000_persons,birthrate_per_1000_persons,net_migrations_per_1000_persons,average_wage_relative,doctors_per_1000_persons,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,Longitude,Latitude,partitions,min_dist,no_loc_in10km,type_of_municipality,PO_percent,Konfederacja_percent,PSL_percent,PIS_percent,SLD_percent,y,population_total_f_ratio_total,frekwencja_wyborcza,population_density_log,population_density_sqrt,revenues_per_capita_PIT_log,SLD_percent_sqrt,healthcare_advices_ratio_total,forests_area_ratio_area_km2,population_0_4_total_percent,population_5_9_total_percent,population_10_14_total_percent,population_15_19_total_percent,population_20_24_total_percent,population_25_29_total_percent,population_30_34_total_percent,population_35_39_total_percent,population_40_44_total_percent,population_45_49_total_percent,population_50_54_total_percent,population_55_59_total_percent,population_60_64_total_percent,population_65_69_total_percent,population_70_74_total_percent,population_75_79_total_percent,population_80_84_total_percent,unemployed_over_50_ratio_population_50_60,beds_in_hospitals_ratio_population,percent_over_60,percent_under_18,percent_over_60_squared,cars_per_1_persons,persons_running_business_per_1_person,entities_registered_per_1_persons
0,201000,37659,1597.8,100.0,2092,98.5,98.0,97.5,87.1,90.6,28.7,444.9,2.25,0.64,18830,2959,143,11.3,75.18,409.0,352.0,3.6,157.4,9.85,5312.66,1067.74,56.58,4962.55,142.34,1117.0,113.11,3.2,-6.04,-5.3,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.5628544843915,51.2599738376905,2.0,0.6,1.0,1,0.23947968202790595,0.061648785368836514,0.054033020178998276,0.3582745010839958,0.22219133915170383,0.277772344022583,0.5323826973631801,0.6087640073590902,7.376382962047941,39.97249054037039,6.973299544189543,0.4713717632099995,5.374359382883242,3.1325000000000003,0.04208821264505165,0.04413287660320242,0.04649618948989617,0.03977800791311506,0.040999495472529804,0.053825114846384664,0.07251918532090602,0.08162723386175948,0.08120236862370217,0.07174911707692716,0.05464829124512069,0.05865795692928649,0.0810164900820521,0.08122892270108074,0.06404843463713854,0.03239597440186941,0.0279614434796463,0.043824701195219126,0.002654647327278478,0.2866512653017871,0.1724952866512653,0.08216894789911552,0.6135,0.082291085796224,0.1323
1,201000,14967,51.9,0.0,14967,97.8,97.2,95.3,83.2,28.8,36.3,305.9,3.27,0.64,2495,4849,119,12.2,230.52,149.0,137.0,3.1,3.95,7.62,5396.32,926.6,11.74,4859.22,895.71,581.0,68.29,3.2,-0.6,12.5,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.5717952804333,51.3046923173679,2.0,4.87,1.0,2,0.1923509561304837,0.07584766189940544,0.09272055278804435,0.4364454443194601,0.149445605013659,-0.09206497317658144,0.50070154339547,0.565392534240444,3.949318790171843,7.20416546173115,6.831521972982548,0.38658195122594513,0.9041224026190954,0.7976470588235295,0.057593372085254224,0.05598984432417986,0.062003073428208724,0.05064475178726532,0.05378499365270261,0.062403955368477315,0.07556624574062938,0.08131222021781252,0.08365069820271263,0.07797153738224093,0.06480924701008886,0.06581145186076034,0.06808311618894902,0.05879601790606,0.03748246141511325,0.017505178058395136,0.015233513730206455,0.03682864450127877,0.002654647327278478,0.19710028729872386,0.22623104162490812,0.03884852325323949,0.6135,0.09561034275405893,0.1086
2,201000,5156,19.3,0.0,5156,96.1,93.6,91.8,79.1,0.2,30.9,345.8,2.89,0.64,5156,2921,37,12.6,204.0,73.0,46.0,3.8,0.0,0.0,8219.43,690.41,162.36,6318.14,1196.25,662.0,89.37,2.1,-3.48,-1.4,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.7359279045049,51.4084317218693,2.0,20.55,0.0,2,0.1292792792792793,0.052702702702702706,0.06936936936936937,0.5081081081081081,0.1927927927927928,-0.020000666706669543,0.5036850271528317,0.5283325592196935,2.9601050959108397,4.39317652729776,6.537285624021216,0.4390817609429852,2.176299456943367,0.7611940298507462,0.04596586501163693,0.04965089216446858,0.05256012412723041,0.04460822342901474,0.057408844065166796,0.06536074476338247,0.07234290147401086,0.07660977501939488,0.07816136539953453,0.07583397982932506,0.054111714507370054,0.07059736229635376,0.07622187742435997,0.06982156710628394,0.045771916214119475,0.022110162916989914,0.022110162916989914,0.041990668740279936,0.002654647327278478,0.23603568657874321,0.19278510473235067,0.0557128453386987,0.6135,0.049844840961986034,0.0673
3,201000,14852,84.2,28.1,3713,96.8,95.9,94.4,77.3,14.2,28.0,305.5,3.27,0.69,2970,2939,48,8.3,251.0,192.0,150.0,3.7,0.0,0.0,5067.58,644.43,30.53,4972.4,379.0,615.0,84.88,4.1,-0.67,0.5,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.3578527408572,51.2144648559075,2.0,11.74,0.0,3,0.15703809694151313,0.07726703630835272,0.09604721874441066,0.532999463423359,0.09747808978715793,-0.10008345855698265,0.5008079719903044,0.48788838483266284,4.4331949212482815,9.17605579756357,6.468366205153995,0.3122148135293358,3.178763802854834,1.4261363636363635,0.05500942633988688,0.05514408833827094,0.058712631295448424,0.051238890385133316,0.05689469431726367,0.06376245623485052,0.07769997306760032,0.08598168596821977,0.08167250201992998,0.0675329921896041,0.059453272286560735,0.06861028817667654,0.07298680312415837,0.0564907083221115,0.03514678157823862,0.020805278750336654,0.01696741179639106,0.04311251314405889,0.002654647327278478,0.2023969835712362,0.22010503635873957,0.04096453895873526,0.6135,0.07204416913546997,0.0871
4,201000,7358,16.8,0.0,7358,96.0,95.7,93.9,71.6,4.1,30.8,397.0,2.52,0.62,1226,6674,167,7.8,43.13,93.0,82.0,3.8,0.0,0.0,6377.16,786.19,27.93,4837.36,282.14,762.0,100.15,4.8,-2.15,1.7,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.4183974510883,51.3915812935473,2.0,17.24,0.0,2,0.19383092155369383,0.06968773800456969,0.08225437928408226,0.456968773800457,0.15613099771515612,0.08805685539118287,0.4967382440880674,0.49944362017804156,2.8213788864092133,4.09878030638384,6.6671984934970485,0.3951341515424301,5.233487360695841,0.09869565217391305,0.053954879043218266,0.05286762707257407,0.0636042402826855,0.056265289480837186,0.054770318021201414,0.06822506115792334,0.08032073933134004,0.08602881217722207,0.08303886925795052,0.07787442239739059,0.05735254145148138,0.05925523240010872,0.06387605327534657,0.05789616743680348,0.03683066050557217,0.016036966567001903,0.015901060070671377,0.047785547785547784,0.002654647327278478,0.19054090785539549,0.22669203587931502,0.036305837566358315,0.6135,0.07325360152215275,0.0896
5,201000,8532,77.3,0.0,8532,84.6,83.7,82.5,77.8,21.0,33.3,411.5,2.43,0.6,2133,5536,84,16.2,144.23,113.0,89.0,3.9,7.7,9.96,5173.3,697.88,1.5,5167.64,379.04,666.0,87.93,2.6,-4.08,0.9,88.5,14.3,613.5,31.4,17.43,35.08,25.51,15.85,427.36,15.7004362819897,51.236412772527,2.0,10.52,0.0,2,0.18521816562778273,0.07272187592757495,0.08459483526268922,0.4948055802908875,0.12051053725140991,0.12014431184206341,0.5069151429910923,0.5149601563674635,4.3476939555933765,8.792041856133306,6.548047168211701,0.34714627644756596,3.4665963431786215,1.311181818181818,0.04746835443037975,0.05496952648851383,0.06258790436005626,0.05285982184716362,0.04946085325832161,0.05520393811533052,0.07653539615564932,0.08931082981715893,0.08110642287857478,0.07618377871542428,0.058837318330989215,0.06282231598687295,0.07887951242381622,0.0652836380684482,0.03867791842475387,0.019104547585560242,0.015471167369901548,0.04046242774566474,0.002654647327278478,0.21741678387248006,0.21788560712611346,0.047270057909452705,0.6135,0.058954524144397565,0.0726
6,202000,28973,800.1,100.0,2897,97.4,90.8,88.8,77.9,95.9,25.3,435.7,2.3,0.68,28973,2452,107,19.3,18.08,216.0,221.0,2.6,51.37,6.42,5355.0,779.72,22.15,5420.62,737.41,901.0,93.75,2.6,-9.67,-2.3,84.9,10.0,619.9,35.4,16.96,36.14,23.12,16.94,323.39,16.6019552619054,50.673003847001,2.0,7.34,1.0,1,0.2723637789102313,0.05684045472363779,0.0706389651117209,0.41270090160721284,0.14551156409251273,0.04800921918636066,0.5335657336140545,0.5406500668449198,6.684736719856078,28.286038959175603,6.658934880877944,0.3814597804389248,4.732647637455562,0.5022222222222221,0.03779380802816415,0.0411417526662755,0.046664135574500394,0.03920891864839678,0.03996824629827771,0.05301487591895903,0.06630310979187519,0.08425085424360612,0.08324992234149035,0.0706174714389259,0.060228488592827804,0.06547475235564146,0.08366410105960723,0.08573499465019156,0.05950367583612329,0.025644565630069376,0.026749042211714355,0.044481054365733116,0.0016941368576822984,0.2812963793877058,0.16480861491733684,0.07912765305663212,0.6199,0.06975459910951576,0.1083
7,202000,31997,1594.3,100.0,2133,98.6,94.6,92.8,82.6,94.0,26.6,451.7,2.21,0.66,15999,2870,150,29.4,91.144,358.0,329.0,3.8,118.09,7.41,4962.43,951.22,84.11,4629.13,572.31,970.0,100.6,2.8,-8.57,-0.3,84.9,10.0,619.9,35.4,16.96,36.14,23.12,16.94,323.39,16.6488733971059,50.7318745679753,2.0,0.63,1.0,1,0.3023270973209048,0.05286487191187015,0.13323772896160616,0.3851117919301219,0.1086630597744606,0.21279940690876564,0.5343313435634591,0.5955729767120129,7.37419004741332,39.92868642968361,6.857745371227857,0.32964080417093483,7.412038628621433,0.9402798357818304,0.03769103353439385,0.042128949589023974,0.044566678126074316,0.038128574553864425,0.03847235678344845,0.05087976997843548,0.06413101228240148,0.08319529955933369,0.08144513548145138,0.07085039222427103,0.058599243679094914,0.06381848298277963,0.08407038159827483,0.08369534643872863,0.06494358846141826,0.033471887989499016,0.03131543582210832,0.05565483788613735,0.0016941368576822984,0.2974966403100291,0.16251523580335656,0.08850425099575483,0.6199,0.08235147045035472,0.1351
8,202000,9107,143.2,76.4,2277,94.9,85.7,81.2,65.4,80.2,27.1,376.0,2.66,0.72,4554,4474,112,18.9,62.71,110.0,95.0,3.8,10.69,7.47,4428.37,775.31,23.74,4208.05,490.37,844.0,83.91,2.7,-4.9,-3.0,84.9,10.0,619.9,35.4,16.96,36.14,23.12,16.94,323.39,16.5523771357598,50.7053825486722,2.0,7.81,1.0,3,0.288117770767613,0.05914826498422713,0.07991587802313355,0.46424815983175605,0.083596214511041,-0.17242592903973053,0.518282639727682,0.5178356713426854,4.964242254526545,11.966620241321273,6.653262949374674,0.28913009962824865,5.1133194246184255,0.97984375,0.04600856484023279,0.04842428900845504,0.04831448336444493,0.045239925332162076,0.05007137366860657,0.0517184583287581,0.06632260898210168,0.07873064675524322,0.08971121115625343,0.07840122982321292,0.053804765564950036,0.0679696936422532,0.07829142417920282,0.07741297902712199,0.049412539804545956,0.02382782475019216,0.02218074009004063,0.059513074842200184,0.0016941368576822984,0.25112550785110355,0.18798726254529483,0.06306402069347466,0.6199,0.07906006368727353,0.1228
9,202000,6129,292.8,100.0,3065,98.5,89.8,87.4,74.5,93.3,24.8,387.2,2.58,0.73,6129,3746,71,15.5,1.42,82.0,86.0,4.6,3.82,1.31,5379.73,570.37,110.9,4313.33,309.76,714.0,87.62,3.3,-8.95,0.3,84.9,10.0,619.9,35.4,16.96,36.14,23.12,16.94,323.39,16.7548836666276,50.682257436568,2.0,8.66,1.0,1,0.19503404084901882,0.06888265919102923,0.11613936724068882,0.500600720865038,0.09611533840608731,-0.13219216649694704,0.520476423560124,0.5095708240983277,5.679489782087156,17.11139970896595,6.346285273046531,0.3100247383775806,3.1581008321096427,0.06761904761904762,0.040952847120248,0.04780551476586719,0.05318975363028226,0.044868657203458964,0.052210801109479524,0.06542666014031653,0.06966878773046174,0.08288464676129874,0.08157937673356176,0.06624245390765214,0.05841083374123022,0.06281612008484255,0.09136890194158917,0.06722140642845488,0.04225811714798499,0.02039484418339044,0.026105400554739762,0.07806191117092867,0.0016941368576822984,0.24734867025615925,0.18681677271985642,0.0611813646774902,0.6199,0.0659161364007179,0.1018
